x,y,fitness,x position,y velocity,model
62,43,-94.71771674810213,0.36,-1.71,"[ 0.06759754 -0.15084229  0.52100818  0.23781447 -0.19657175 -0.36274215
 -0.363921   -0.25909094 -0.12428585 -0.22368668  0.16874791 -0.5281856
  0.01363962 -0.59530956  0.07597869 -0.03202258 -0.46394859  0.16594348
 -0.37389007  0.02829785  0.5856269   0.49961454 -0.41287658  0.10793102
  0.3050424  -0.18058917  0.17501139 -0.14345544  0.45627574  0.0397399
 -0.11369923  0.15734544]"
59,48,-21.21254789913631,0.27,-1.56,"[ 0.35992201  0.19812068 -0.20132315  0.19234218 -0.48128325 -0.0519645
 -0.05898726 -0.03425624  0.0082334  -0.46885926  0.51043553 -0.09993663
 -0.68984498  0.22907635 -0.57341441 -0.35693051 -0.15192081 -0.24246978
 -0.11147298 -0.36732168 -0.31919634 -0.24992483 -0.03938096  0.0463667
 -0.00810882 -0.05524246 -0.39604413  0.03824144  0.35194974  0.00790962
  0.00423428 -0.03107723]"
56,38,-118.48182059699782,0.18,-1.86,"[-0.64066295 -0.8226796   0.13852731 -1.44763965  0.08267145 -0.12626687
 -1.19965375 -0.21665819  0.25570957 -0.24595135 -0.06559184  0.87008309
 -1.11276097 -1.14139528  0.95796175 -0.78317795  0.54317071 -0.71063873
  1.77596821 -0.07160239  0.22067976  0.67155171  0.62905606 -0.25298448
 -0.78130626 -0.68435323 -0.81136969  0.60145322  2.14413331  0.17032639
  0.0754831   0.21690874]"
61,53,-57.917096614057975,0.33,-1.41,"[ 0.21333968  0.13467629  0.09449582  0.08475095 -0.03912903  0.02384533
  0.30209276  0.01272998  0.37470095 -0.16352732  0.27395037 -0.07021352
 -0.20048756 -0.2309675  -0.0564254  -0.22784788 -0.27578318  0.13209654
 -0.21535065 -0.208516   -0.11500335 -0.12318631  0.06466126 -0.11574263
 -0.06495709 -0.22135373  0.17731762  0.24833707 -0.03620627  0.09315261
  0.08343639  0.0183941 ]"
57,47,-63.604470909493145,0.21,-1.59,"[ 0.04121412 -0.00904655  0.03500311  0.04679536 -0.06595699  0.01882601
 -0.04735011  0.07257835 -0.02586409 -0.0343303   0.09825274 -0.05031257
 -0.08596102 -0.00367943  0.0079366   0.01650769 -0.07441464 -0.04212627
 -0.01471866 -0.02046133  0.05809288 -0.00795486 -0.0560783  -0.05432074
 -0.05866444  0.07644865 -0.01390049  0.02124229  0.06640758  0.03026314
  0.00012371  0.00206475]"
56,39,-26.96253436819562,0.18,-1.83,"[-0.03204426  0.10865374  0.09641811  0.12357053  0.03051793  0.05037908
  0.01091216  0.01669401 -0.00042966  0.04391151 -0.02538644 -0.00073153
  0.0631632   0.03314716  0.05378209  0.02595979  0.02344492 -0.03222122
 -0.03002502 -0.00251473  0.04307195  0.02677984  0.08476818  0.00470133
 -0.06894427 -0.06156273  0.13905338  0.12978131  0.01650173 -0.00918887
 -0.05783768  0.01452857]"
56,45,16.0995365278807,0.18,-1.65,"[ 0.83968993 -0.2338626   0.32661278  0.14948547  0.56628425 -0.14700298
 -0.36643755  0.30250345  0.16815141  0.09235633  0.37401481  0.02163023
 -0.45001235  0.02991947  0.15562565  0.60563559 -0.00622905 -0.32541897
  0.21876917 -0.2175047   0.16025568 -0.42894424 -0.08835691  0.52169642
  0.07730647  0.17365165 -0.40366084  0.35265306 -0.06527083  1.22761778
  0.15295426  0.4149508 ]"
59,39,-124.3289765195824,0.27,-1.83,"[ 0.0625017  -0.04181343  0.75891336  0.11689062  0.09216769 -0.23599917
 -0.35518723 -0.16853648  0.19910715 -0.23419572 -0.11393844 -0.5200083
 -0.12406148 -0.70696794  0.00139542  0.05741199 -0.35908128  0.41129556
 -0.57449188  0.06274389  1.08941984  0.55941824  0.27980718  0.1480289
  0.56894476 -0.3257553   0.38397451 -0.29907204  0.3442582   0.43300828
  0.05777036  0.19369997]"
52,94,269.96635823439993,0.06,-0.18,"[-0.31948333 -0.3628839  -0.32090986  0.93459592 -0.33841548 -0.45920854
  0.05391326 -0.09738577  0.33562196  0.18569467  0.34342154  0.14110595
 -0.89604952 -0.18095013 -0.36079121 -0.29909409  0.51729566 -0.16418666
 -0.04686025 -0.21654732 -0.04670532  0.41879233 -0.47578062 -0.09586725
 -0.82455343 -0.07953802 -0.66929443  0.18762471  0.56352457  0.0722512
 -0.77462821 -0.53173884]"
62,42,-126.86055642228189,0.36,-1.74,"[ 0.15973881  0.04632015  0.05625047 -0.01128519  0.07943688  0.07225413
  0.39090798  0.03655509  0.38632945 -0.07519402  0.13799456  0.01003287
 -0.1769533  -0.33043417 -0.05903476 -0.24905178 -0.39679158  0.09497385
 -0.287839   -0.21596452 -0.22836748 -0.15385856  0.03442237 -0.06438138
  0.07174996 -0.15063796  0.09350831  0.18895513 -0.02822871 -0.01403783
  0.14692911  0.04607376]"
61,87,203.64108495298672,0.33,-0.39,"[-0.8284666  -1.74976202 -0.13533193  1.05676963 -0.01882119 -0.49430986
 -1.76540174  0.94904118  0.34274929 -0.43070704  1.38859644  0.71623959
 -0.5320294   0.35899201  0.27659975 -0.99018714 -0.64029582 -1.0604231
  0.89732188 -1.07808212  1.00715112 -1.22522797 -1.74591688  1.17299256
  1.13331536  0.16414899 -2.04877645  0.18890744  1.80540142  0.64911934
 -0.01066469 -0.60844942]"
58,44,-100.91434397959665,0.24,-1.68,"[ 0.05329334  0.10051891 -0.05940385 -0.00954363  0.08091    -0.05783444
 -0.00026573 -0.00920956 -0.04409557  0.00555335  0.01360587 -0.02031321
 -0.0592307  -0.07123207 -0.02523122  0.02859254  0.00992113 -0.02805222
  0.0727521   0.01378854  0.01238375  0.02620628  0.02936726  0.00750971
 -0.00310063 -0.05319802 -0.01339302  0.03405729  0.03747967  0.03087432
 -0.02418683  0.04968853]"
60,89,179.87899617603327,0.3,-0.33,"[-0.11196215 -0.02252068  0.00227174  0.09209735 -0.02929524  0.18358825
  0.12670507  0.06352772 -0.04756051  0.05175109  0.06348449  0.01334606
 -0.24058982 -0.1522527  -0.17320977 -0.33099472 -0.01591107 -0.1889041
 -0.16680546 -0.23516796 -0.04089193 -0.12111669 -0.1212975  -0.00896422
  0.0521169   0.23109039 -0.17370859  0.08701368  0.18901174  0.06704321
  0.00688772 -0.00377556]"
59,49,-96.31293301790444,0.27,-1.53,"[-0.15647862  0.00456373  0.02623699 -0.00538449 -0.00798002  0.03956111
 -0.04951107 -0.0178005   0.03003975 -0.06789896  0.05429462  0.00190651
 -0.00455317  0.05009604  0.00772015  0.07710202  0.04710935 -0.02842488
  0.02156198 -0.01162042  0.0941298   0.01808168 -0.01270704 -0.05597782
 -0.07324966  0.01809322 -0.11251137 -0.01165375  0.00441713  0.01816543
 -0.03110942 -0.12896385]"
60,60,164.85506944734644,0.3,-1.2,"[ 0.40336969  0.45092089 -0.1907326   0.64956726 -0.33585808  0.15315907
  0.51493001 -0.09057173 -0.1090246  -0.7307821   1.13490984 -0.2439272
 -0.48213288 -0.00864488 -0.65066374 -0.67687994 -0.3527141  -0.14589929
 -0.07724118 -0.46704603 -0.14516274 -0.21813424 -0.0474346   0.70994292
 -0.20270475 -0.04407179 -0.70608656 -0.069894    0.68534457  0.05252732
 -0.12096643  0.12419021]"
58,50,-95.4348330621603,0.24,-1.5,"[-0.00645731  0.06137932  0.0202202  -0.00697165  0.06510336  0.0178499
 -0.00458878  0.03960907  0.03662654  0.07997336 -0.0501651   0.01290651
 -0.00797626 -0.05055737  0.05376365 -0.09696975  0.01826565 -0.03407794
  0.0137316  -0.01209692 -0.03008276  0.0056411  -0.03824699 -0.00809708
 -0.0647598  -0.01099566  0.08745743  0.02538334  0.0106537  -0.01806334
 -0.04197511  0.01048154]"
