x,y,fitness,x position,y velocity,model
62,43,-316.6226549280967,0.36,-1.71,"[-0.02453989 -0.07322991 -0.0458218  -0.06820696  0.02054867 -0.0551077
  0.00883798  0.02799303  0.09873315  0.01118264  0.06333336  0.08383734
 -0.14794798  0.05470331  0.04832061 -0.00415104  0.00960551 -0.03818865
  0.04206414  0.0174335   0.03457673 -0.04621638  0.0410922  -0.12164811
  0.02702026  0.00050956  0.07428113  0.01845367  0.03094102 -0.04746335
 -0.09720009  0.06035795]"
59,48,-110.39211317436177,0.27,-1.56,"[-3.29444783e-02  1.91374163e-02  2.26146287e-02  4.89948655e-02
  2.28231081e-02  3.23442025e-02  1.87859235e-02  2.22048504e-02
 -8.97623622e-02 -6.57503490e-02  1.20863514e-01  5.60698234e-02
 -1.26449667e-02  1.72119733e-02  3.74061034e-02  2.88546686e-02
 -1.69284227e-02 -9.79212177e-03 -2.28061735e-02  2.61166435e-02
  2.09955889e-02 -1.07110399e-04 -2.66754012e-02 -1.31036643e-02
  5.29521939e-02 -1.08252027e-02 -7.85365879e-02  3.53581859e-02
 -3.55761323e-02  2.17261797e-02  1.28483613e-02  2.51082918e-02]"
56,38,-209.87994376000458,0.18,-1.86,"[ 5.25098846e-02 -1.17452256e-04  1.35546239e-03  4.78933720e-02
  7.51082701e-02 -1.05771564e-02 -8.11302617e-02  6.48448940e-02
  6.86074811e-02 -6.63387666e-03  1.15260859e-01 -8.18370204e-02
 -3.62375958e-02 -1.04657951e-01 -1.32093369e-01 -5.33990454e-02
 -1.38439920e-02 -3.73820143e-02  1.14682970e-01 -1.85550757e-02
 -5.79176579e-02  6.14711428e-02 -2.12916145e-02  2.28005454e-02
 -1.16372373e-02  1.22805504e-02  6.71837033e-02 -2.58914272e-02
  4.84653476e-03 -1.00285579e-02 -2.61706791e-02 -2.60931119e-02]"
61,53,-121.15305092839353,0.33,-1.41,"[ 0.12691657  0.18700958  0.0647636   0.10072725 -0.1536223   0.0138268
  0.03151885  0.01388616 -0.05297576  0.02766654  0.0537585   0.10174181
 -0.05536611 -0.04571294 -0.05735037 -0.02064339 -0.21040112  0.08349783
 -0.16710398 -0.18070241  0.16048735  0.06487832  0.05409955  0.00438982
  0.0906458   0.02255288 -0.04146841 -0.05018044  0.15617665  0.01699985
 -0.02179328 -0.04967873]"
57,47,-63.604470909493145,0.21,-1.59,"[ 0.04121412 -0.00904655  0.03500311  0.04679536 -0.06595699  0.01882601
 -0.04735011  0.07257835 -0.02586409 -0.0343303   0.09825274 -0.05031257
 -0.08596102 -0.00367943  0.0079366   0.01650769 -0.07441464 -0.04212627
 -0.01471866 -0.02046133  0.05809288 -0.00795486 -0.0560783  -0.05432074
 -0.05866444  0.07644865 -0.01390049  0.02124229  0.06640758  0.03026314
  0.00012371  0.00206475]"
56,39,-26.96253436819562,0.18,-1.83,"[-0.03204426  0.10865374  0.09641811  0.12357053  0.03051793  0.05037908
  0.01091216  0.01669401 -0.00042966  0.04391151 -0.02538644 -0.00073153
  0.0631632   0.03314716  0.05378209  0.02595979  0.02344492 -0.03222122
 -0.03002502 -0.00251473  0.04307195  0.02677984  0.08476818  0.00470133
 -0.06894427 -0.06156273  0.13905338  0.12978131  0.01650173 -0.00918887
 -0.05783768  0.01452857]"
56,45,-116.15408749970294,0.18,-1.65,"[ 0.02955754 -0.01694018  0.0266116   0.15352068  0.01887011 -0.05441665
  0.02870575  0.06382659 -0.03544265  0.10742492 -0.033757    0.06185782
 -0.0231223  -0.0310776  -0.10402945 -0.12092697  0.06200969 -0.01753761
 -0.05229894 -0.0030782   0.02091143 -0.05800802  0.04911043  0.06678514
  0.04147548  0.00786113 -0.06164468 -0.0002572   0.1299763  -0.02476998
 -0.08036738  0.0013117 ]"
59,39,-158.56932714058854,0.27,-1.83,"[ 0.15526727 -0.06068949 -0.03844376 -0.03511415  0.06713025 -0.04235999
 -0.01974107  0.0526362   0.00348249 -0.0076935  -0.06077487 -0.0248816
 -0.09703199 -0.0573429  -0.11561042 -0.04846509 -0.1291656  -0.07326642
 -0.02558472  0.00594358 -0.02688549  0.19529025  0.0625052   0.00514532
  0.00539295  0.05716673  0.09209809 -0.00686478  0.06788802  0.09046224
 -0.03667831  0.07026273]"
52,94,149.7759887535723,0.06,-0.18,"[-0.06377385 -0.11366909  0.01284692  0.01321682 -0.05557931 -0.1708478
  0.03054895  0.06866018  0.1243739   0.0270729   0.02420361  0.12656576
 -0.15149779 -0.05968468 -0.00603564  0.00152871 -0.02675243 -0.04653385
  0.10280404 -0.14248074 -0.07622896  0.06039413 -0.02403186 -0.06549686
 -0.01254645 -0.01745523 -0.08662275  0.04992813 -0.01438411  0.02489419
 -0.04175466 -0.10038887]"
62,42,-300.4715787718519,0.36,-1.74,"[-7.04062900e-02  1.36997478e-02  1.32028820e-02  4.21974610e-02
  2.22334959e-02  9.44293971e-02 -4.13628213e-02 -8.26882501e-03
  1.34411702e-02 -8.79653809e-02  4.31901467e-02 -2.36643614e-02
 -3.51835417e-02 -4.05821869e-02  3.44450974e-02  4.99468162e-02
 -1.56216752e-01  2.54311723e-03  3.49768611e-02  1.28072016e-02
 -2.53198540e-02  1.97851089e-02 -1.21844794e-02  8.94894658e-02
  6.05018954e-03  1.72515409e-02  1.29749330e-04 -4.29418274e-03
  1.08963891e-02 -2.87346963e-02 -5.13906829e-02 -1.65197190e-03]"
